text,label,customer_feedback,product_category
This is a great product!,4,The new phone is amazing! The camera quality is superb and the battery lasts all day. Highly recommended for everyone.,Electronics
I am very unhappy with the service.,0,I had a terrible experience with customer support. They were rude and unhelpful. My issue is still unresolved after two weeks.,Service
It's an average experience.,2,"The delivery was on time, but the product itself was just okay. Nothing special to write home about.",Logistics
Fantastic! Loved it.,4,Absolutely loved the new update! It fixed all the bugs and added some really cool features. Great job!,Software
Could be better.,0,"The app keeps crashing, and the interface is confusing. Needs a lot of improvements to be usable. Very frustrating.",Software
Neutral feeling.,2,"The new policy is a bit confusing, neither good nor bad. It just exists. I'll need more time to understand it fully.",Policy
Best purchase ever!,4,I'm so happy with this purchase. It exceeded my expectations in every way. Worth every penny!,Electronics
"Terrible, waste of money.",0,"This product is a complete rip-off. It broke after a day, and the warranty process is a nightmare. Avoid at all costs.",Product Quality
It works.,2,"The software does what it's supposed to, no more, no less. Performance is acceptable but not outstanding.",Software
Very satisfied.,4,Excellent quality and fast shipping. I'm very satisfied with my order. Will definitely buy again from here.,E-commerce
Disappointed.,0,"I'm very disappointed with the recent changes. They made the service worse, not better. I might cancel my subscription.",Service
Not bad.,2,"It's not bad for the price, but there are better alternatives out there. I'm on the fence about keeping it.",Product Quality
Highly recommend this shop!,4,"The customer service was phenomenal, and the product arrived much faster than expected. A truly pleasant experience.",E-commerce
Lagging performance on game.,0,The graphics card lags terribly on new games. It's advertised as high-end but performs like a budget one. Disappointed.,Electronics
Fairly satisfied with new update.,2,"The new update brought some minor improvements, but also introduced a few new bugs. Overall, it's okay, not revolutionary.",Software
"Great book, very insightful.",4,This book is a must-read for anyone interested in the topic. Well-written and thought-provoking.,Content
Refund process was horrible.,0,"I tried to get a refund for a faulty item, and it took weeks of back-and-forth emails. Very frustrating and inefficient.",Service
The clothes fit perfectly.,4,"Love the new collection! The material is soft, and the fit is just right. Will definitely buy more.",Fashion
Packaging was damaged.,0,"The item arrived, but the packaging was completely ripped, luckily the product inside was fine. Still, not good.",Logistics
Good value for money.,2,"For its price, it offers decent features. Nothing groundbreaking, but it gets the job done reliably.",Electronics
"Amazing customer support, very responsive.",4,The support team was incredibly helpful and quick to resolve my issue. Best experience ever with a company!,Service
Wish it had more features.,2,"It's a solid product, but I was hoping for more advanced features given the price. It's alright for basic use.",Electronics
The food was cold upon arrival.,0,"Ordered delivery, and the food was completely cold. Made for a very unpleasant dining experience.",Food Delivery
Excellent quality materials used.,4,"The craftsmanship is superb, and the materials feel premium. Definitely a long-lasting product.",Manufacturing
Subscription model is confusing.,0,I can't figure out the different subscription tiers. It's very unclear and makes it hard to choose.,Subscription
Delivery was super fast!,4,Got my order in less than an hour! Unbelievable speed and everything was in perfect condition.,Logistics
Product broke after first use.,0,"Highly disappointed. The product malfunctioned right after the first use, indicating poor durability.",Product Quality
The tutorial was very clear and helpful.,4,Learned a lot from their online tutorial. It was easy to follow and explained everything perfectly.,Education
"Not as advertised, false claims.",0,The product doesn't live up to the marketing claims. It's misleading and I feel scammed.,Marketing
Decent battery life for daily tasks.,2,"The battery lasts about a day with moderate use. It's okay, but not exceptional compared to competitors.",Electronics
The user interface is intuitive and easy to navigate.,4,"I found the software very user-friendly, even for a beginner. No issues at all with finding what I needed.",Software
"Customer service is terrible, very slow responses.",0,"I waited for days for a reply to my query, and when I finally got one, it wasn't helpful. Extremely frustrating experience.",Service
Product quality is inconsistent.,2,"Some items I've bought were great, others felt cheap and broke quickly. It's a hit or miss with this brand.",Product Quality
Fast shipping and well-packaged.,4,"My order arrived quickly and was packed securely, no damages whatsoever. Impressed with the logistics.",Logistics
